job_title,job_info
Head of Data and Analytics,"Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Database Development & Administration,Full Time"
Senior Data Modeller / Analyst,"Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Developers/Programmers,up to $140K package (inc super) dep. on exp.,Full Time"
Data Analyst,"Sydney,CBD, Inner West & Eastern Suburbs,Information & Communication Technology,Business/Systems Analysts,Full Time"
Data & Research Graduate,"Melbourne,Northern Suburbs,Consulting & Strategy,Other,Contract/Temp"
Data Analyst,"Sydney,CBD, Inner West & Eastern Suburbs,Information & Communication Technology,Business/Systems Analysts,Full Time"
Data Analyst,"Newcastle, Maitland & Hunter,Information & Communication Technology,Business/Systems Analysts,Up to $100k plus super,Full Time"
Supply Chain Analyst (Data Scientist),"Newcastle, Maitland & Hunter,Science & Technology,Mathematics, Statistics & Information Sciences,Full Time"
Data Analyst/Developer,"Adelaide,Information & Communication Technology,Developers/Programmers,$92,784 - $98,143,Contract/Temp"
Graduate - Data Analyst- South Melbourne,"Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Business/Systems Analysts,Full Time"
Data Entry Officers,"ACT,Administration & Office Support,Data Entry & Word Processing,Contract/Temp"
Junior Data Engineer,"Sydney,CBD, Inner West & Eastern Suburbs,Information & Communication Technology,Database Development & Administration,Full Time"
Data Analyst,"Gold Coast,Information & Communication Technology,Database Development & Administration,Full Time"
Data Analyst/Developer,"Adelaide,Government & Defence,Government - State,$92,784 - $98,143,Contract/Temp"
Research Data Assistant,"Sydney,CBD, Inner West & Eastern Suburbs,Healthcare & Medical,Clinical/Medical Research,Part Time"
Data and Visualisation Manager,"Sydney,Parramatta & Western Suburbs,Government & Defence,Government - Local,$111,630.00 per annum, plus 9.5% Superannuation,Full Time"
Supply Chain Analyst (Data Scientist),"Newcastle, Maitland & Hunter,Science & Technology,Mathematics, Statistics & Information Sciences,Full Time"
Data and Visualisation Manager,"Sydney,Parramatta & Western Suburbs,Government & Defence,Government - Local,$111,630.00 per annum, plus 9.5% Superannuation,Full Time"
Mgr Data Scientist Enterprise Capability,"Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Management,Full Time"
Data Analyst / Junior Data Scientist,"Sydney,CBD, Inner West & Eastern Suburbs,Information & Communication Technology,Other,Full Time"
Data Scientist,"Melbourne,CBD & Inner Suburbs,Science & Technology,Mathematics, Statistics & Information Sciences,Great salary and perks,Full Time"
Data and Visualisation Manager,"Sydney,Parramatta & Western Suburbs,Information & Communication Technology,Other,$111,630.00 per annum, plus 9.5% Superannuation,Full Time"
Data and Visualisation Manager,"Sydney,Parramatta & Western Suburbs,Information & Communication Technology,Database Development & Administration,$111,630.00 per annum, plus 9.5% Superannuation,Full Time"
